num;nombre;municipio;provincia;potencia;tecnologia;aerogeneradores;potencia_unitaria
193.0;Portelrubio;Fuentelsaz de Soria y Almarza;SO;4980;GAMESA;6;830
192.0;POZALMURO (Alto del Pajaranco);Pozalmuro;SO;1500;NEG MICON;1;1500
13.0;Pucheruelo;San Juan de la Nava;AV;22950;GAMESA;27;850
78.0;Quintanilla;Merindad de Rio Ubierna;BU;20000;VESTAS;10;2000
79.0;Quintanilla Fase II;Merindad del Rio Ubierna;BU;9990;GENERAL ELECTRIC;3;3330
80.0;Quintanilla Sobresierra;Quintanilla Sobresierra;BU;850;GAMESA;1;850
81.0;Rabinaldo;Merindad del Rio Ubierna;BU;9000;GAMESA;6;1500
194.0;Radona I;Adrada, Alcubilla de las Peñas y Taroda;SO;24000;GAMESA;12;2000
195.0;Radona II;Adrada, Alcubilla de las Peñas y Taroda;SO;32000;GAMESA;16;2000
126.0;Rebollar;Hontoria de Cerrato;PA;4995;GAMESA;3;1665
144.0;Rodal;Fuentes de Valdepero;PA;4500;GAMESA;3;1500
156.0;Rodera Alta;Zamayon, Palacios del Arzobispo y Santiz;SA;34000;VESTAS;17;2000
82.0;Rodilla;Monasterio de Rodilla;BU;11400;GAMESA;4;850
145.0;San Adrián;Fuentes de Valdepero;PA;4000;GAMESA;2;2000
222.0;San Blas;Castromonte,Valverde de Campos, Valdenebro de los Valles y La Mudarra;VA;39600;ACCIONA;12;3300
245.0;San Ciprián;Lubián y Hermisende;ZA;17850;GAMESA;21;850
214.0;San Lorenzo A;Torrelobatón, Torrecilla de la Torre, Barruelo;VA;48750;VESTAS;26;1875
215.0;San Lorenzo B;Torrelobatón, San Pelayo, Peñaflor de Hornija, Torrecilla de la Torre, Castromonte y Barruelo;VA;39375;VESTAS;21;1875
216.0;San Lorenzo C;Castromonte, Peñaflor de Hornija y Torrelobatón;VA;28125;GAMESA;15;1875
217.0;San Lorenzo D;Peñaflor de Hornija;VA;33750;GAMESA;18;1875
83.0;Sargentes;Sargentes de la Lora;BU;24000;ECOTECNIA;12;2000
157.0;Sierra de Dueña;Las Veguillas, Membribe de la Sierra, Frades de la Sierra y Pedrosillo de los Aires;SA;31450;GAMESA;37;850
224.0;Sierra de las Carbas;Ferreruela;ZA;40000;GAMESA;20;2000
196.0;Sierra del Cortado;Tajahuerce, Almenar de Soria;SO;18480;MADE;14;1320
188.0;Sierra del Madero Fase I;Olvega y Noviercas;SO;14850;MADE;45;330
189.0;Sierra del Madero Fase II;Olvega y Noviercas;SO;13860;MADE;21;660
197.0;Sierra Ministra;Medinaceli;SO;42000;SUZLON;20;2100
246.0;Sierra Sesnández;Ferreruela y Riofrío de Aliste;ZA;20000;GAMESA;10;2000
198.0;Sierro;Retortillo de Soria;SO;19550;GAMESA;23;850
199.0;SOLIEDRA;Momblona y Morón de Almazán;SO;21000;SENVION;6;3500
200.0;Tarayuela;Alentisque, Momblona, Morón de Almazán y Soliedra;SO;30000;GAMESA;15;2000
218.0;Teso Pardo;Valverde de Campos y Castromonte;VA;36300;GAMESA;11;3300
158.0;Teso Santo;Santiz y Palacios del Arzobispo;SA;50000;VESTAS;25;2000
219.0;Torozos A;Castromonte,Torrelobatón, Torrecilla de la Torre y Barruelo;VA;41800;VESTAS;19;2200
